kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
NQU_gpgpusim.1.sm_89.ptx 169 : 3200 111648 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 51 : 9600 104576 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 178 : 3200 115008 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 168 : 3200 110304 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 50 : 9600 126208 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 177 : 3200 113056 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 49 : 9600 123776 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 166 : 9600 33408 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 48 : 9600 124800 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 175 : 9600 32320 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 165 : 9600 57824 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 47 : 9600 124800 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 174 : 9600 49024 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 164 : 9600 57632 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 46 : 9600 120576 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 45 : 9600 160896 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 161 : 9545 45828 0 299 299 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 160 : 9545 65517 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 57 : 9600 57600 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 184 : 9600 57792 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 59 : 9600 58496 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 205 : 9600 49072 0 0 0 0 0 0 100 
NQU_gpgpusim.1.sm_89.ptx 78 : 55 275 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 207 : 400 13632 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 80 : 55 275 0 4 2 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 213 : 9600 49920 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 86 : 55 275 0 4 2 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 208 : 400 13672 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 81 : 55 330 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 209 : 400 3600 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 82 : 55 495 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 210 : 400 1636 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 83 : 55 13287 0 0 0 7 2 0 0 
NQU_gpgpusim.1.sm_89.ptx 214 : 9600 57792 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 87 : 55 330 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 215 : 9600 49092 0 0 0 0 0 0 100 
NQU_gpgpusim.1.sm_89.ptx 88 : 55 330 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 217 : 200 6804 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 90 : 55 495 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 223 : 9600 48352 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 96 : 841921 5893447 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 218 : 200 6840 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 91 : 55 275 0 4 2 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 74 : 55 275 0 4 2 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 75 : 55 330 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 79 : 55 527 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 219 : 200 1800 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 92 : 55 330 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 220 : 200 812 0 100 100 0 0 0 0 
